word,sentiment
adder,Anger
adder,Disgust
adder,Fear
adder,Negative
adder,Sadness
addiction,Negative
addresses,Anticipation
addresses,Positive
adept,Positive
adequacy,Positive
adhering,Trust
adipose,Negative
adjudicate,Fear
adjudicate,Negative
adjunct,Positive
administrative,Trust
admirable,Joy
admirable,Positive
admirable,Trust
admiral,Positive
admiral,Trust
admiration,Joy
admiration,Positive
admiration,Trust
admire,Positive
admire,Trust
admirer,Positive
admissible,Positive
admissible,Trust
admonition,Fear
admonition,Negative
adorable,Joy
adorable,Positive
adoration,Joy
adoration,Positive
adoration,Trust
adore,Anticipation
adore,Joy
adore,Positive
adore,Trust
adrift,Anticipation
adrift,Fear
adrift,Negative
adrift,Sadness
adulterated,Negative
adultery,Disgust
adultery,Negative
adultery,Sadness
advance,Anticipation
advance,Fear
advance,Joy
advance,Positive
advance,Surprise
advanced,Positive
advancement,Positive
advantage,Positive
advantageous,Positive
advent,Anticipation
advent,Joy
advent,Positive
advent,Trust
adventure,Anticipation
adventure,Positive
adventurous,Positive
adversary,Anger
adversary,Negative
adverse,Anger
adverse,Disgust
adverse,Fear
adverse,Negative
adverse,Sadness
adversity,Anger
adversity,Fear
adversity,Negative
adversity,Sadness
advice,Trust
advisable,Positive
advisable,Trust
advise,Positive
advise,Trust
advised,Trust
adviser,Positive
adviser,Trust
advocacy,Anger
advocacy,Anticipation
advocacy,Joy
advocacy,Positive
advocacy,Trust
advocate,Trust
aesthetic,Positive
aesthetics,Joy
aesthetics,Positive
affable,Positive
affection,Joy
affection,Positive
affection,Trust
affiliated,Positive
affirm,Positive
affirm,Trust
affirmation,Positive
affirmative,Positive
affirmatively,Positive
affirmatively,Trust
afflict,Fear
afflict,Negative
afflict,Sadness
afflicted,Negative
affliction,Disgust
affliction,Fear
affliction,Negative
affliction,Sadness
affluence,Joy
affluence,Positive
affluent,Positive
afford,Positive
affront,Anger
affront,Disgust
affront,Fear
affront,Negative
affront,Sadness
affront,Surprise
afraid,Fear
afraid,Negative
aftermath,Anger
aftermath,Disgust
aftermath,Fear
aftermath,Negative
aftermath,Sadness
aftertaste,Negative
aga,Fear
aga,Positive
aga,Trust
aggravated,Anger
aggravated,Negative
aggravating,Anger
aggravating,Negative
aggravating,Sadness
aggravation,Anger
aggravation,Disgust
aggravation,Negative
aggression,Anger
aggression,Fear
aggression,Negative
aggressive,Anger
aggressive,Fear
aggressive,Negative
aggressor,Anger
aggressor,Fear
aggressor,Negative
aghast,Disgust
aghast,Fear
aghast,Negative
aghast,Surprise
agile,Positive
agility,Positive
agitated,Anger
agitated,Negative
agitation,Anger
agitation,Negative
agonizing,Fear
agonizing,Negative
agony,Anger
agony,Fear
agony,Negative
agony,Sadness
agree,Positive
agreeable,Positive
agreeable,Trust
agreed,Positive
agreed,Trust
agreeing,Positive
agreeing,Trust
agreement,Positive
agreement,Trust
agriculture,Positive
aground,Negative
ahead,Positive
aid,Positive
aiding,Positive
ail,Negative
ail,Sadness
ailing,Fear
ailing,Negative
ailing,Sadness
aimless,Negative
airport,Anticipation
airs,Disgust
airs,Negative
akin,Trust
alabaster,Positive
alarm,Fear
alarm,Negative
alarm,Surprise
alarming,Fear
alarming,Negative
alarming,Surprise
alb,Trust
alcoholism,Anger
alcoholism,Disgust
alcoholism,Fear
alcoholism,Negative
alcoholism,Sadness
alertness,Anticipation
alertness,Fear
alertness,Positive
alertness,Surprise
alerts,Anticipation
alerts,Fear
alerts,Surprise
alien,Disgust
alien,Fear
alien,Negative
alienate,Anger
alienate,Disgust
alienate,Negative
alienated,Negative
alienated,Sadness
alienation,Anger
alienation,Disgust
alienation,Fear
alienation,Negative
alienation,Sadness
alimentation,Positive
alimony,Negative
alive,Anticipation
alive,Joy
alive,Positive
alive,Trust
allay,Positive
allegation,Anger
allegation,Negative
allege,Negative
allegiance,Positive
allegiance,Trust
allegro,Positive
alleviate,Positive
alleviation,Positive
alliance,Trust
allied,Positive
allied,Trust
allowable,Positive
allure,Anticipation
allure,Joy
allure,Positive
allure,Surprise
alluring,Positive
ally,Positive
ally,Trust
almighty,Positive
aloha,Anticipation
aloha,Joy
aloha,Positive
aloof,Negative
altercation,Anger
altercation,Negative
amaze,Surprise
amazingly,Joy
amazingly,Positive
amazingly,Surprise
ambassador,Positive
ambassador,Trust
ambiguous,Negative
ambition,Anticipation
ambition,Joy
ambition,Positive
ambition,Trust
ambulance,Fear
ambulance,Trust
ambush,Anger
ambush,Fear
ambush,Negative
ambush,Surprise
ameliorate,Positive
amen,Joy
amen,Positive
amen,Trust
amenable,Positive
amend,Positive
amends,Positive
amenity,Positive
amiable,Positive
amicable,Joy
amicable,Positive
ammonia,Disgust
amnesia,Negative
amnesty,Joy
amnesty,Positive
amortization,Trust
amour,Anticipation
amour,Joy
amour,Positive
amour,Trust
amphetamines,Disgust
amphetamines,Negative
amuse,Joy
amuse,Positive
amused,Joy
amused,Positive
amusement,Joy
amusement,Positive
amusing,Joy
amusing,Positive
anaconda,Disgust
anaconda,Fear
anaconda,Negative
anal,Negative
analyst,Anticipation
analyst,Positive
analyst,Trust
anarchism,Anger
anarchism,Fear
anarchism,Negative
anarchist,Anger
anarchist,Fear
anarchist,Negative
anarchy,Anger
anarchy,Fear
anarchy,Negative
anathema,Anger
anathema,Disgust
anathema,Fear
anathema,Negative
anathema,Sadness
ancestral,Trust
anchor,Positive
anchorage,Positive
anchorage,Sadness
ancient,Negative
angel,Anticipation
angel,Joy
angel,Positive
angel,Surprise
angel,Trust
angelic,Joy
angelic,Positive
angelic,Trust
Anger,Anger
Anger,Negative
angina,Fear
angina,Negative
angling,Anticipation
angling,Negative
angry,Anger
angry,Disgust
angry,Negative
anguish,Anger
anguish,Fear
anguish,Negative
anguish,Sadness
animate,Positive
animated,Joy
animated,Positive
animosity,Anger
animosity,Disgust
animosity,Fear
animosity,Negative
animosity,Sadness
animus,Anger
animus,Negative
annihilate,Anger
annihilate,Fear
annihilate,Negative
annihilated,Anger
annihilated,Fear
annihilated,Negative
annihilated,Sadness
annihilation,Anger
annihilation,Fear
annihilation,Negative
annihilation,Sadness
announcement,Anticipation
annoy,Anger
annoy,Disgust
annoy,Negative
annoyance,Anger
annoyance,Disgust
annoyance,Negative
annoying,Anger
annoying,Negative
annul,Negative
annulment,Negative
annulment,Sadness
anomaly,Fear
anomaly,Negative
anomaly,Surprise
anonymous,Negative
answerable,Trust
antagonism,Anger
antagonism,Negative
antagonist,Anger
antagonist,Negative
antagonistic,Anger
antagonistic,Disgust
antagonistic,Negative
anthrax,Disgust
anthrax,Fear
anthrax,Negative
anthrax,Sadness
antibiotics,Positive
antichrist,Anger
antichrist,Disgust
antichrist,Fear
antichrist,Negative
Anticipation,Anticipation
anticipatory,Anticipation
antidote,Anticipation
antidote,Positive
antidote,Trust
antifungal,Positive
antifungal,Trust
antipathy,Anger
antipathy,Disgust
antipathy,Negative
antiquated,Negative
antique,Positive
antiseptic,Positive
antiseptic,Trust
antisocial,Anger
antisocial,Disgust
antisocial,Fear
antisocial,Negative
antisocial,Sadness
antithesis,Anger
antithesis,Negative
anxiety,Anger
anxiety,Anticipation
anxiety,Fear
anxiety,Negative
anxiety,Sadness
anxious,Anticipation
anxious,Fear
anxious,Negative
apache,Fear
apache,Negative
apathetic,Negative
apathetic,Sadness
apathy,Negative
apathy,Sadness
aphid,Disgust
aphid,Negative
aplomb,Positive
apologetic,Positive
apologetic,Trust
apologize,Positive
apologize,Sadness
apologize,Trust
apology,Positive
apostle,Positive
apostle,Trust
apostolic,Trust
appalling,Disgust
appalling,Fear
appalling,Negative
apparition,Fear
apparition,Surprise
appeal,Anticipation
appendicitis,Fear
appendicitis,Negative
appendicitis,Sadness
applause,Joy
applause,Positive
applause,Surprise
applause,Trust
applicant,Anticipation
appreciation,Joy
appreciation,Positive
appreciation,Trust
apprehend,Fear
apprehension,Fear
apprehension,Negative
apprehensive,Anticipation
apprehensive,Fear
apprehensive,Negative
apprentice,Trust
approaching,Anticipation
approbation,Positive
approbation,Trust
appropriation,Negative
approval,Positive
approve,Joy
approve,Positive
approve,Trust
approving,Positive
apt,Positive
aptitude,Positive
arbiter,Trust
arbitration,Anticipation
arbitrator,Trust
archaeology,Anticipation
archaeology,Positive
archaic,Negative
architecture,Trust
ardent,Anticipation
ardent,Joy
ardent,Positive
ardor,Positive
arduous,Negative
argue,Anger
argue,Negative
argument,Anger
argument,Negative
argumentation,Anger
argumentative,Negative
arguments,Anger
arid,Negative
arid,Sadness
aristocracy,Positive
aristocratic,Positive
armament,Anger
armament,Fear
armaments,Fear
armaments,Negative
armed,Anger
armed,Fear
armed,Negative
armed,Positive
armor,Fear
armor,Positive
armor,Trust
armored,Fear
armory,Trust
aroma,Positive
arouse,Anticipation
arouse,Positive
arraignment,Anger
arraignment,Fear
arraignment,Negative
arraignment,Sadness
array,Positive
arrears,Negative
arrest,Negative
arrival,Anticipation
arrive,Anticipation
arrogance,Negative
arrogant,Anger
arrogant,Disgust
arrogant,Negative
arsenic,Disgust
arsenic,Fear
arsenic,Negative
arsenic,Sadness
arson,Anger
arson,Fear
arson,Negative
art,Anticipation
art,Joy
art,Positive
art,Sadness
art,Surprise
articulate,Positive
articulation,Positive
artillery,Fear
artillery,Negative
artisan,Positive
artiste,Positive
artistic,Positive
ascendancy,Positive
ascent,Positive
ash,Negative
ashamed,Disgust
ashamed,Negative
ashamed,Sadness
ashes,Negative
ashes,Sadness
asp,Fear
aspiration,Anticipation
aspiration,Joy
aspiration,Positive
aspiration,Surprise
aspiration,Trust
aspire,Anticipation
aspire,Joy
aspire,Positive
aspiring,Anticipation
aspiring,Joy
aspiring,Positive
aspiring,Trust
ass,Negative
assail,Anger
assail,Fear
assail,Negative
assail,Surprise
assailant,Anger
assailant,Fear
assailant,Negative
assailant,Sadness
assassin,Anger
assassin,Fear
assassin,Negative
assassin,Sadness
assassinate,Anger
assassinate,Fear
assassinate,Negative
assassination,Anger
assassination,Fear
assassination,Negative
assassination,Sadness
assault,Anger
assault,Fear
assault,Negative
assembly,Positive
assembly,Trust
assent,Positive
asserting,Positive
asserting,Trust
assessment,Surprise
assessment,Trust
assessor,Trust
assets,Positive
asshole,Anger
asshole,Disgust
asshole,Negative
assignee,Trust
assist,Positive
assist,Trust
assistance,Positive
associate,Positive
associate,Trust
association,Trust
assuage,Positive
assurance,Positive
assurance,Trust
assure,Trust
assured,Positive
assured,Trust
assuredly,Trust
astonishingly,Positive
astonishingly,Surprise
astonishment,Joy
astonishment,Positive
astonishment,Surprise
astray,Fear
astray,Negative
astringent,Negative
astrologer,Anticipation
astrologer,Positive
astronaut,Positive
astronomer,Anticipation
astronomer,Positive
astute,Positive
asylum,Fear
asylum,Negative
asymmetry,Disgust
atheism,Negative
atherosclerosis,Fear
atherosclerosis,Negative
atherosclerosis,Sadness
athlete,Positive
athletic,Positive
atom,Positive
atone,Anticipation
atone,Joy
atone,Positive
atone,Trust
atonement,Positive
atrocious,Anger
atrocious,Disgust
atrocious,Negative
atrocity,Anger
atrocity,Disgust
atrocity,Fear
atrocity,Negative
atrocity,Sadness
atrophy,Disgust
atrophy,Fear
atrophy,Negative
atrophy,Sadness
attachment,Positive
attack,Anger
attack,Fear
attack,Negative
attacking,Anger
attacking,Disgust
attacking,Fear
attacking,Negative
attacking,Sadness
attacking,Surprise
attainable,Anticipation
attainable,Positive
attainment,Positive
attempt,Anticipation
attendance,Anticipation
attendant,Positive
attendant,Trust
attention,Positive
attentive,Positive
attentive,Trust
attenuated,Negative
attenuation,Negative
attenuation,Sadness
attest,Positive
attest,Trust
attestation,Trust
attorney,Anger
attorney,Fear
attorney,Positive
attorney,Trust
attraction,Positive
attractiveness,Positive
auction,Anticipation
audacity,Negative
audience,Anticipation
auditor,Fear
auditor,Trust
augment,Positive
august,Positive
aunt,Positive
aunt,Trust
aura,Positive
auspicious,Anticipation
auspicious,Joy
auspicious,Positive
austere,Fear
austere,Negative
austere,Sadness
austerity,Negative
authentic,Joy
authentic,Positive
authentic,Trust
authenticate,Trust
authentication,Trust
authenticity,Positive
authenticity,Trust
author,Positive
author,Trust
authoritative,Positive
authoritative,Trust
authority,Positive
authority,Trust
authorization,Positive
authorization,Trust
authorize,Trust
authorized,Positive
autocratic,Negative
automatic,Trust
autopsy,Disgust
autopsy,Fear
autopsy,Negative
autopsy,Sadness
avalanche,Fear
avalanche,Negative
avalanche,Sadness
avalanche,Surprise
avarice,Anger
avarice,Disgust
avarice,Negative
avatar,Positive
avenger,Anger
avenger,Negative
averse,Anger
averse,Disgust
averse,Fear
averse,Negative
aversion,Anger
aversion,Disgust
aversion,Fear
aversion,Negative
avoid,Fear
avoid,Negative
avoidance,Fear
avoidance,Negative
avoiding,Fear
await,Anticipation
award,Anticipation
award,Joy
award,Positive
award,Surprise
award,Trust
awful,Anger
awful,Disgust
awful,Fear
awful,Negative
awful,Sadness
awkwardness,Disgust
awkwardness,Negative
awry,Negative
axiom,Trust
axiomatic,Trust
ay,Positive
aye,Positive
babble,Negative
babbling,Negative
baboon,Disgust
baboon,Negative
baby,Joy
baby,Positive
babysitter,Trust
baccalaureate,Positive
backbone,Anger
backbone,Positive
backbone,Trust
backer,Trust
backward,Negative
backwards,Disgust
backwards,Negative
backwater,Negative
backwater,Sadness
bacteria,Disgust
bacteria,Fear
bacteria,Negative
bacteria,Sadness
bacterium,Disgust
bacterium,Fear
bacterium,Negative
bad,Anger
bad,Disgust
bad,Fear
bad,Negative
bad,Sadness
badge,Trust
badger,Anger
badger,Negative
badly,Negative
badly,Sadness
badness,Anger
badness,Disgust
badness,Fear
badness,Negative
bailiff,Fear
bailiff,Negative
bailiff,Trust
bait,Fear
bait,Negative
bait,Trust
balance,Positive
balanced,Positive
bale,Fear
bale,Negative
balk,Negative
ballad,Positive
ballet,Positive
ballot,Anticipation
ballot,Positive
ballot,Trust
balm,Anticipation
balm,Joy
balm,Negative
balm,Positive
balsam,Positive
ban,Negative
bandit,Negative
bane,Anger
bane,Disgust
bane,Fear
bane,Negative
bang,Anger
bang,Disgust
bang,Fear
bang,Negative
bang,Sadness
bang,Surprise
bAnger,Anger
bAnger,Anticipation
bAnger,Fear
bAnger,Negative
bAnger,Surprise
banish,Anger
banish,Disgust
banish,Fear
banish,Negative
banish,Sadness
banished,Anger
banished,Fear
banished,Negative
banished,Sadness
banishment,Anger
banishment,Disgust
banishment,Negative
banishment,Sadness
bank,Trust
banker,Trust
bankrupt,Fear
bankrupt,Negative
bankrupt,Sadness
bankruptcy,Anger
bankruptcy,Disgust
bankruptcy,Fear
bankruptcy,Negative
bankruptcy,Sadness
banquet,Anticipation
banquet,Joy
banquet,Positive
banshee,Anger
banshee,Disgust
banshee,Fear
banshee,Negative
banshee,Sadness
baptism,Positive
baptismal,Joy
baptismal,Positive
barb,Anger
barb,Negative
barbarian,Fear
barbarian,Negative
barbaric,Anger
barbaric,Disgust
barbaric,Fear
barbaric,Negative
barbarism,Negative
bard,Positive
barf,Disgust
bargain,Positive
bargain,Trust
bark,Anger
bark,Negative
barred,Negative
barren,Negative
barren,Sadness
barricade,Fear
barricade,Negative
barrier,Anger
barrier,Negative
barrow,Disgust
bartender,Trust
barter,Trust
base,Trust
baseless,Negative
basketball,Anticipation
basketball,Joy
basketball,Positive
bastard,Disgust
bastard,Negative
bastard,Sadness
bastion,Anger
bastion,Positive
bath,Positive
battalion,Anger
batter,Anger
batter,Fear
batter,Negative
battered,Fear
battered,Negative
battered,Sadness
battery,Anger
battery,Negative
battle,Anger
battle,Negative
battled,Anger
battled,Fear
battled,Negative
battled,Sadness
battlefield,Fear
battlefield,Negative
bawdy,Negative
bayonet,Anger
bayonet,Fear
bayonet,Negative
beach,Joy
beam,Joy
beam,Positive
beaming,Anticipation
beaming,Joy
beaming,Positive
bear,Anger
bear,Fear
bearer,Negative
bearish,Anger
bearish,Fear
beast,Anger
beast,Fear
beast,Negative
beastly,Disgust
beastly,Fear
beastly,Negative
beating,Anger
beating,Fear
beating,Negative
beating,Sadness
beautification,Joy
beautification,Positive
beautification,Trust
beautiful,Joy
beautiful,Positive
beautify,Joy
beautify,Positive
beauty,Joy
beauty,Positive
bedrock,Positive
bedrock,Trust
bee,Anger
bee,Fear
beer,Joy
beer,Positive
befall,Negative
befitting,Positive
befriend,Joy
befriend,Positive
befriend,Trust
beg,Negative
beg,Sadness
beggar,Negative
beggar,Sadness
begging,Negative
begun,Anticipation
behemoth,Fear
behemoth,Negative
beholden,Negative
belated,Negative
believed,Trust
believer,Trust
believing,Positive
believing,Trust
belittle,Anger
belittle,Disgust
belittle,Fear
belittle,Negative
belittle,Sadness
belligerent,Anger
belligerent,Fear
belligerent,Negative
bellows,Anger
belt,Anger
belt,Fear
belt,Negative
bender,Negative
benefactor,Positive
benefactor,Trust
beneficial,Positive
benefit,Positive
benevolence,Joy
benevolence,Positive
benevolence,Trust
benign,Joy
benign,Positive
bequest,Trust
bereaved,Negative
bereaved,Sadness
bereavement,Negative
bereavement,Sadness
bereft,Negative
berserk,Anger
berserk,Negative
berth,Positive
bestial,Disgust
bestial,Fear
bestial,Negative
betray,Anger
betray,Disgust
betray,Negative
betray,Sadness
betray,Surprise
betrayal,Anger
betrayal,Disgust
betrayal,Negative
betrayal,Sadness
betrothed,Anticipation
betrothed,Joy
betrothed,Positive
betrothed,Trust
betterment,Positive
beverage,Positive
beware,Anticipation
beware,Fear
beware,Negative
bewildered,Fear
bewildered,Negative
bewildered,Surprise
bewilderment,Fear
bewilderment,Surprise
bias,Anger
bias,Negative
biased,Negative
biblical,Positive
bickering,Anger
bickering,Disgust
bickering,Negative
biennial,Anticipation
bier,Fear
bier,Negative
bier,Sadness
bigot,Anger
bigot,Disgust
bigot,Fear
bigot,Negative
bigoted,Anger
bigoted,Disgust
bigoted,Fear
bigoted,Negative
bigoted,Sadness
bile,Anger
bile,Disgust
bile,Negative
bilingual,Positive
biopsy,Fear
biopsy,Negative
birch,Anger
birch,Disgust
birch,Fear
birch,Negative
birth,Anticipation
birth,Fear
birth,Joy
birth,Positive
birth,Trust
birthday,Anticipation
birthday,Joy
birthday,Positive
birthday,Surprise
birthplace,Anger
birthplace,Negative
bitch,Anger
bitch,Disgust
bitch,Fear
bitch,Negative
bitch,Sadness
bite,Negative
bitterly,Anger
bitterly,Disgust
bitterly,Negative
bitterly,Sadness
bitterness,Anger
bitterness,Disgust
bitterness,Negative
bitterness,Sadness
bizarre,Negative
bizarre,Surprise
black,Negative
black,Sadness
blackjack,Negative
blackmail,Anger
blackmail,Fear
blackmail,Negative
blackness,Fear
blackness,Negative
blackness,Sadness
blame,Anger
blame,Disgust
blame,Negative
blameless,Positive
bland,Negative
blanket,Trust
blasphemous,Anger
blasphemous,Disgust
blasphemous,Negative
blasphemy,Anger
blasphemy,Negative
blast,Anger
blast,Fear
blast,Negative
blast,Surprise
blatant,Anger
blatant,Disgust
blatant,Negative
blather,Negative
blaze,Anger
blaze,Negative
bleak,Negative
bleak,Sadness
bleeding,Disgust
bleeding,Fear
bleeding,Negative
bleeding,Sadness
blemish,Anger
blemish,Disgust
blemish,Fear
blemish,Negative
blemish,Sadness
bless,Anticipation
bless,Joy
bless,Positive
bless,Trust
blessed,Joy
blessed,Positive
blessing,Anticipation
blessing,Joy
blessing,Positive
blessing,Trust
blessings,Anticipation
blessings,Joy
blessings,Positive
blessings,Surprise
blessings,Trust
blight,Disgust
blight,Fear
blight,Negative
blight,Sadness
blighted,Disgust
blighted,Negative
blighted,Sadness
blind,Negative
blinded,Negative
blindfold,Anticipation
blindfold,Fear
blindfold,Surprise
blindly,Negative
blindly,Sadness
blindness,Negative
blindness,Sadness
bliss,Joy
bliss,Positive
blissful,Joy
blissful,Positive
blister,Disgust
blister,Negative
blitz,Surprise
bloated,Disgust
bloated,Negative
blob,Disgust
blob,Fear
blob,Negative
blockade,Anger
blockade,Fear
blockade,Negative
blockade,Sadness
bloodless,Positive
bloodshed,Anger
bloodshed,Disgust
bloodshed,Fear
bloodshed,Negative
bloodshed,Sadness
bloodshed,Surprise
bloodthirsty,Anger
bloodthirsty,Disgust
bloodthirsty,Fear
bloodthirsty,Negative
bloody,Anger
bloody,Disgust
bloody,Fear
bloody,Negative
bloody,Sadness
bloom,Anticipation
bloom,Joy
bloom,Positive
bloom,Trust
blossom,Joy
blossom,Positive
blot,Negative
blower,Negative
blowout,Negative
blue,Sadness
blues,Fear
blues,Negative
blues,Sadness
bluff,Negative
blunder,Disgust
blunder,Negative
blunder,Sadness
blur,Negative
blurred,Negative
blush,Negative
board,Anticipation
boast,Negative
boast,Positive
boasting,Negative
bodyguard,Positive
bodyguard,Trust
bog,Negative
bogus,Anger
bogus,Disgust
bogus,Negative
boil,Disgust
boil,Negative
boilerplate,Negative
boisterous,Anger
boisterous,Anticipation
boisterous,Joy
boisterous,Negative
boisterous,Positive
bold,Positive
boldness,Positive
bolster,Positive
bomb,Anger
bomb,Fear
bomb,Negative
bomb,Sadness
bomb,Surprise
bombard,Anger
bombard,Fear
bombard,Negative
bombardment,Anger
bombardment,Fear
bombardment,Negative
bombed,Disgust
bombed,Negative
bomber,Fear
bomber,Sadness
bonanza,Joy
bonanza,Positive
bondage,Fear
bondage,Negative
bondage,Sadness
bonds,Negative
bonne,Positive
bonus,Anticipation
bonus,Joy
bonus,Positive
bonus,Surprise
boo,Negative
booby,Negative
bookish,Positive
bookshop,Positive
bookworm,Negative
bookworm,Positive
boomerang,Anticipation
boomerang,Trust
boon,Positive
booze,Negative
bore,Negative
boredom,Negative
boredom,Sadness
boring,Negative
borrower,Negative
bother,Negative
bothering,Anger
bothering,Negative
bothering,Sadness
bottom,Negative
bottom,Sadness
bottomless,Fear
bound,Negative
bountiful,Anticipation
bountiful,Joy
bountiful,Positive
bounty,Anticipation
bounty,Joy
bounty,Positive
bounty,Trust
bouquet,Joy
bouquet,Positive
bouquet,Trust
bout,Anger
bout,Negative
bovine,Disgust
bovine,Negative
bowels,Disgust
boxing,Anger
boy,Disgust
boy,Negative
boycott,Negative
brag,Negative
brains,Positive
bran,Disgust
brandy,Negative
bravado,Negative
bravery,Positive
brawl,Anger
brawl,Disgust
brawl,Fear
brawl,Negative
brazen,Anger
brazen,Negative
breach,Negative
break,Surprise
breakdown,Negative
breakfast,Positive
breakneck,Negative
breakup,Negative
breakup,Sadness
bribe,Negative
bribery,Disgust
bribery,Negative
bridal,Anticipation
bridal,Joy
bridal,Positive
bridal,Trust
bride,Anticipation
bride,Joy
bride,Positive
bride,Trust
bridegroom,Anticipation
bridegroom,Joy
bridegroom,Positive
bridegroom,Trust
bridesmaid,Joy
bridesmaid,Positive
bridesmaid,Trust
brigade,Fear
brigade,Negative
brighten,Joy
brighten,Positive
brighten,Surprise
brighten,Trust
brightness,Positive
brilliant,Anticipation
brilliant,Joy
brilliant,Positive
brilliant,Trust
brimstone,Anger
brimstone,Fear
brimstone,Negative
bristle,Negative
broadside,Anticipation
broadside,Negative
brocade,Positive
broil,Anger
broil,Negative
broke,Fear
broke,Negative
broke,Sadness
broken,Anger
broken,Fear
broken,Negative
broken,Sadness
brothel,Disgust
brothel,Negative
brother,Positive
brother,Trust
brotherhood,Positive
brotherhood,Trust
brotherly,Anticipation
brotherly,Joy
brotherly,Positive
brotherly,Trust
bruise,Anticipation
bruise,Negative
brunt,Anger
brunt,Negative
brutal,Anger
brutal,Fear
brutal,Negative
brutality,Anger
brutality,Fear
brutality,Negative
brute,Anger
brute,Fear
brute,Negative
brute,Sadness
buck,Fear
buck,Negative
buck,Positive
buck,Surprise
buddy,Anticipation
buddy,Joy
buddy,Positive
buddy,Trust
budget,Trust
buffet,Anger
buffet,Negative
bug,Disgust
bug,Fear
bug,Negative
bugaboo,Anger
bugaboo,Fear
bugaboo,Negative
bugaboo,Sadness
bugle,Anticipation
build,Positive
building,Positive
bulbous,Negative
bulldog,Positive
bulletproof,Positive
bully,Anger
bully,Fear
bully,Negative
bum,Disgust
bum,Negative
bum,Sadness
bummer,Anger
bummer,Disgust
bummer,Negative
bunker,Fear
buoy,Positive
burdensome,Fear
burdensome,Negative
burdensome,Sadness
bureaucracy,Negative
bureaucracy,Trust
bureaucrat,Disgust
bureaucrat,Negative
burglar,Disgust
burglar,Fear
burglar,Negative
burglary,Negative
burial,Anger
burial,Fear
burial,Negative
burial,Sadness
buried,Fear
buried,Negative
buried,Sadness
burke,Anger
burke,Disgust
burke,Fear
burke,Negative
burke,Sadness
burlesque,Surprise
burnt,Disgust
burnt,Negative
bursary,Trust
bury,Sadness
buss,Joy
buss,Positive
busted,Anger
busted,Fear
busted,Negative
butcher,Anger
butcher,Disgust
butcher,Fear
butcher,Negative
butler,Positive
butler,Trust
butt,Negative
buttery,Positive
buxom,Positive
